Date,Open,High,Low,Close,Volume
04/11/2024,18220.4,18251.99,18112.83,18248.87,1339.569
01/11/2024,18189.67,18363.94,18181.53,18239.92,5896.47
31/10/2024,18427.31,18427.31,18083.95,18095.15,6411.94
30/10/2024,18731.69,18785.5,18598.24,18607.93,6514.69
29/10/2024,18576.09,18753.19,18509.59,18712.75,6881.17
28/10/2024,18648.25,18671.01,18563.02,18567.19,5641.66
25/10/2024,18512.58,18690.01,18487.06,18518.61,6100.04
24/10/2024,18384.16,18435.37,18305.42,18415.49,5761.28
23/10/2024,18502.06,18509.19,18146.61,18276.65,6245.61
22/10/2024,18451.86,18620.71,18413.47,18579.77,6407.18
21/10/2024,18456.48,18543.58,18377.63,18540.01,6092.18
18/10/2024,18466.01,18524.33,18452.58,18489.55,5090.19
17/10/2024,18537.21,18541.46,18368.79,18373.61,5806.86
16/10/2024,18333.29,18383.11,18214.96,18367.08,5257.57
15/10/2024,18515.97,18564.25,18252.52,18315.59,6522.7
14/10/2024,18426.66,18547.92,18423.6,18502.69,4894.71
11/10/2024,18217.73,18375.53,18208.44,18342.94,5140.44
10/10/2024,18200.62,18333.39,18154.18,18282.05,5855.39
09/10/2024,18179.22,18302.05,18133.02,18291.62,5228.67
08/10/2024,18017.93,18203.04,17989.7,18182.92,5566.51
07/10/2024,18080.12,18096.33,17900.04,17923.9,5240.32
04/10/2024,18130.42,18145.28,17952.3,18137.85,5136.07
03/10/2024,17859.49,18011.25,17826.42,17918.48,5208.99
02/10/2024,17867.12,17978.58,17767.79,17925.12,5489.04
01/10/2024,18154.94,18162.72,17779.77,17910.36,5879.98
30/09/2024,18069.83,18198.16,17997.56,18189.17,5846.15
27/09/2024,18228.78,18238.28,18069.18,18119.59,5367.89
26/09/2024,18327.34,18327.34,18071.74,18190.29,5669.21
25/09/2024,18050.36,18155.04,18040.62,18082.21,4858.06
24/09/2024,18046.44,18091.96,17863.38,18074.52,5347.58
23/09/2024,17994.91,18021.58,17936.37,17974.27,5237.31
20/09/2024,17999.35,18024.34,17835.64,17948.32,9914.48
19/09/2024,17980.89,18099.93,17909.75,18013.98,5574.65
18/09/2024,17663.38,17832.7,17556.43,17573.3,5611.63
17/09/2024,17707.02,17781.74,17544.64,17628.06,4959.52
16/09/2024,17573.7,17618.4,17480.66,17592.13,4675.53
13/09/2024,17575.26,17719.14,17564.61,17683.98,4802.88
12/09/2024,17413.89,17605.72,17338.32,17569.68,4983.12
11/09/2024,17061.41,17420.23,16787.84,17395.53,6086.93
10/09/2024,16949.64,17036.07,16801.13,17025.88,4963.74
09/09/2024,16835.67,16923.28,16732.84,16884.6,5132.15
06/09/2024,17137.62,17166.54,16668.57,16690.83,5549.03
05/09/2024,17063.24,17295.58,17035.07,17127.66,4983.03
04/09/2024,17015.71,17232.65,16984.67,17084.3,5011.82
03/09/2024,17585.45,17585.45,17057.79,17136.3,5813.97
30/08/2024,17650.49,17720.38,17498.79,17713.62,5531.15
29/08/2024,17610.57,17789.21,17482.6,17516.43,5727.78
28/08/2024,17738.8,17759.94,17439.4,17556.03,5211.92
27/08/2024,17655.52,17789.72,17573.37,17754.82,4362.38
26/08/2024,17867.85,17909.09,17645.69,17725.77,5110.94
23/08/2024,17772.73,17941.27,17700.27,17877.79,5380.81
22/08/2024,17993.72,18017.69,17589.15,17619.35,5065.36
21/08/2024,17840.51,17963.07,17790.98,17918.99,4765.15
20/08/2024,17849.09,17932.53,17758.2,17816.94,5305.26
19/08/2024,17649.74,17877.44,17585.58,17876.77,5564.3
16/08/2024,17516.4,17674.65,17502.83,17631.72,5138.15
15/08/2024,17394.54,17602.72,17375.41,17594.5,5478.17
14/08/2024,17227.64,17260.73,17032.17,17192.6,4985.48
13/08/2024,16944.74,17192.79,16943.95,17187.61,5469.16
12/08/2024,16793.64,16895.79,16699.39,16780.61,4890.85
09/08/2024,16636.52,16789.22,16574.57,16745.3,5783.41
08/08/2024,16408.27,16694.25,16262.93,16660.02,5815.88
07/08/2024,16622.31,16709.81,16179.53,16195.81,5913.62
06/08/2024,16261.36,16620.31,16137.65,16366.85,5908.93
05/08/2024,15712.53,16453.46,15708.54,16200.08,6852.19
02/08/2024,16780.45,16920.63,16582.79,16776.16,6313.87
01/08/2024,17647.03,17791.58,17051.42,17194.15,6664.55
31/07/2024,17499.23,17693.98,17438.6,17599.4,6292.56
30/07/2024,17424.1,17468.56,17015.38,17147.42,5564.31
29/07/2024,17444.39,17535.32,17299.83,17370.2,4897.23
26/07/2024,17331.95,17454.57,17239.99,17357.88,5281.56
25/07/2024,17352.64,17544.46,17033.96,17181.72,6114.35
24/07/2024,17733.91,17747.06,17313.52,17342.41,6735.56
23/07/2024,17982.74,18128.38,17968.1,17997.35,4938
22/07/2024,17923.65,18040.99,17839.76,18007.57,5093.62
19/07/2024,17835.59,17935.14,17691.43,17726.94,4992.93
18/07/2024,18119.15,18130.87,17759.54,17871.22,5977.26
17/07/2024,18188.19,18223.24,17972.87,17996.92,6007.28
16/07/2024,18534.27,18576.83,18386.07,18509.34,5812.93
15/07/2024,18485.91,18641.53,18397.83,18472.57,5450.35
12/07/2024,18303.64,18556.73,18293.6,18398.45,5845.93
11/07/2024,18659.25,18671.07,18238.78,18283.41,6366.62
10/07/2024,18512.09,18655.19,18467.58,18647.45,5228.24
09/07/2024,18465.02,18511.89,18381.6,18429.29,4839.14
08/07/2024,18371.86,18416.94,18342.6,18403.74,5286.26
05/07/2024,18200.6,18366.31,18197.14,18352.76,4851
03/07/2024,18016.12,18188.3,18016.12,18188.3,3713.96
02/07/2024,17808.04,18031.29,17802.24,18028.76,4526.55
01/07/2024,17773.9,17894.28,17657.64,17879.3,5189.99
28/06/2024,17891.1,18035,17723.83,17732.6,8960.94
27/06/2024,17793.95,17892.78,17765.42,17858.68,5382.06
26/06/2024,17697.27,17813.55,17687.07,17805.16,5294.31
25/06/2024,17572.16,17734.34,17546.63,17717.65,4848.28
24/06/2024,17640.26,17730.12,17494.02,17496.82,5503.21
21/06/2024,17681.01,17787.34,17620.57,17689.36,8589.16
20/06/2024,17913.94,17936.79,17650.69,17721.59,6289.3
18/06/2024,17856.76,17890.52,17796.88,17862.23,5796.18
17/06/2024,17697.3,17935.99,17636.36,17857.02,6061.2
14/06/2024,17621.18,17693.43,17590.8,17688.88,4973.82
13/06/2024,17715.27,17741.8,17566.32,17667.56,4916.02
12/06/2024,17502.15,17725.39,17490.64,17608.44,5560.63
11/06/2024,17160.42,17345.05,17107.99,17343.55,5009.22
10/06/2024,17083.45,17213.45,17057.34,17192.53,5207.11
07/06/2024,17124.14,17229.31,17090.04,17133.13,4755.65
06/06/2024,17204.87,17235.73,17123.59,17173.12,4960.58
05/06/2024,16974.48,17187.92,16955.56,17187.9,5325
04/06/2024,16823.88,16891.87,16750.39,16857.05,4917.35
03/06/2024,16865.7,16909.89,16646.43,16828.67,5422.04
31/05/2024,16771.9,16789.27,16445.54,16735.02,6674.09
30/05/2024,16878.63,16900.46,16690.36,16737.08,6659.29
29/05/2024,16879.35,16989.6,16873.97,16920.58,6652.48
28/05/2024,16988.31,17032.66,16917.51,17019.88,6293.38
24/05/2024,16786.79,16947.8,16771.58,16920.79,5836.04
23/05/2024,16996.39,16996.39,16678.37,16736.03,7752.8
22/05/2024,16839.02,16855.27,16712.09,16801.54,7277.34
21/05/2024,16736.1,16839.02,16719.97,16832.62,6245.09
20/05/2024,16702.02,16823.83,16695.69,16794.87,6861.32
17/05/2024,16708.49,16726.41,16613.84,16685.97,9587.28
16/05/2024,16738.11,16797.83,16693.45,16698.32,11932.6
